epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,_cfg_file,outdir
30,2.869364833831787,,1.856103853416443,0.5189,0.049826350063085556,0.1,809.155444583469,2.7762646675109863,61.792824029922485,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
31,2.882615546722412,,1.6878823848724365,0.5451,0.023505792021751404,0.1,806.6099063940702,2.7763400077819824,61.98783278465271,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
32,2.8408376824188233,,1.7758811466217042,0.5419,0.08412966132164001,0.1,806.3097992585987,2.7764153480529785,62.01090455055237,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
33,2.8755307775878904,,1.6843996875762939,0.5566,0.08021315932273865,0.1,807.3894037247737,2.7764906883239746,61.92798638343811,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
34,2.8286125817871093,,1.7970433799743653,0.5307,0.06363880634307861,0.1,809.1047557150273,2.7765660285949707,61.79669523239136,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
35,2.800468141784668,,1.7378696697235108,0.5466,0.07385224103927612,0.1,809.352856715115,2.776641368865967,61.77775192260742,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
36,2.8505526766967773,,1.7661529483795166,0.5568,0.12429491430521011,0.1,806.9931877703178,2.776716709136963,61.95839166641235,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
37,2.7878515701293947,,1.6349195350646972,0.5623,0.051272016018629074,0.1,805.8160222662069,2.776792049407959,62.04990291595459,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
38,2.7904239574432372,,1.7326091464996338,0.5364,0.018970074132084846,0.1,807.684616417456,2.776867389678955,61.905351400375366,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
39,2.7771836988830567,,1.6087830249786377,0.5705,0.04200033098459244,0.1,806.4166734423958,2.776942729949951,62.003687381744385,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
40,2.7553855519104005,,1.6729688833236693,0.573,0.112190842628479,0.1,807.0757393841375,2.7770180702209473,61.95305037498474,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
41,2.705612408828735,,1.5748832220077515,0.5771,0.043661609292030334,0.1,809.3084081786121,2.7770934104919434,61.78214406967163,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
42,2.72048345413208,,1.8376336631774903,0.5375,0.0985410213470459,0.1,806.2722000494001,2.7771687507629395,62.01379632949829,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
43,2.7479316557312012,,1.572089736366272,0.5913,0.09457729756832123,0.1,806.93907455537,2.7772440910339355,61.962546586990356,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
44,2.722926788787842,,1.6597981521606446,0.5642,0.0190519317984581,0.1,809.7080956354021,2.7773194313049316,61.750648498535156,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
45,2.725693021850586,,1.52032970867157,0.5974,0.04376563802361488,0.1,803.8545331443744,2.7773947715759277,62.20030856132507,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
46,2.6761416974258423,,1.6601322626113892,0.5789,0.08559758216142654,0.1,809.4203337456291,2.777470111846924,61.77260184288025,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
47,2.6771860636901854,,1.6438511381149292,0.5674,0.049943163990974426,0.1,806.6421570871166,2.77754545211792,61.98535442352295,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
