epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,outdir
26,0.8386746910476685,0.7436,1.5660150411605835,0.6125,0.10920530557632446,0.1,714.3105642049749,2.7771830558776855,69.99756479263306,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
27,0.7863119972419739,0.75982,1.5377214118957518,0.6072,0.12380030751228333,0.1,719.6333165403611,2.7772583961486816,69.48082613945007,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
28,0.7519268991470337,0.76902,1.5531750703811646,0.6054,0.13277629017829895,0.1,714.8988566943682,2.7773337364196777,69.93996357917786,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
29,0.710419541683197,0.77874,1.4379699954986571,0.6407,0.11580339819192886,0.1,713.175497259156,2.777409076690674,70.10996747016907,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
30,0.6569158178329467,0.79556,1.552629216003418,0.6249,0.13901253044605255,0.1,721.8820986167077,2.77748441696167,69.26338815689087,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
31,0.6225236626815795,0.80386,1.518259835243225,0.629,0.1416628509759903,0.1,716.6724844384927,2.777559757232666,69.76687550544739,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
32,0.5874518120193482,0.8138,1.5752803314208985,0.6289,0.15395212173461914,0.1,717.42533566675,2.777635097503662,69.69366359710693,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
33,0.555571760263443,0.82502,1.5804775197982788,0.6279,0.1557525098323822,0.1,718.7103461373445,2.777710437774658,69.56905555725098,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
34,0.5238245163917542,0.83312,1.5440451467514038,0.6382,0.15313374996185303,0.1,717.3151261279689,2.7777857780456543,69.70437145233154,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
35,0.4972660174942017,0.84298,1.5574206357955933,0.6338,0.15438565611839294,0.1,719.7708097344043,2.7778611183166504,69.46655702590942,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
36,0.45497109258651736,0.85368,1.6039621627807616,0.6305,0.16541387140750885,0.1,714.4608562033637,2.7779364585876465,69.98284029960632,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
37,0.43558803632736204,0.85898,1.6509961763381957,0.6332,0.1680760532617569,0.1,715.5395578526923,2.7780117988586426,69.87833738327026,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
38,0.40443394525527954,0.86848,1.4964843559265137,0.6584,0.15324479341506958,0.1,718.6822041282788,2.7780871391296387,69.57177972793579,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
39,0.3809681009483337,0.87616,1.6290787574768066,0.6421,0.17178913950920105,0.1,715.4315279530412,2.7781624794006348,69.88789010047913,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
40,0.3568525903606415,0.88406,1.6885063707351684,0.6325,0.17579592764377594,0.1,714.1984102353255,2.778237819671631,70.00855684280396,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
41,0.3385406700563431,0.89116,1.573871682357788,0.649,0.16636069118976593,0.1,723.6307734597516,2.778313159942627,69.0960111618042,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
42,0.3170660892486572,0.89822,1.699130152130127,0.6419,0.17385104298591614,0.1,715.8679266767612,2.778388500213623,69.84528589248657,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
43,0.2768584940814972,0.90978,1.6122374073028565,0.6509,0.1769821047782898,0.1,716.5260760695938,2.778463840484619,69.78113102912903,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
44,0.26831323123931883,0.91336,1.607153997039795,0.6561,0.17773644626140594,0.1,724.1567540780684,2.7785391807556152,69.04682087898254,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
45,0.24804337810516358,0.91892,1.7045012489318847,0.6564,0.18518581986427307,0.1,715.3294670366508,2.7786145210266113,69.89786148071289,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
46,0.22877559372901918,0.92626,2.093108730316162,0.6383,0.20267802476882935,0.1,714.4635433890487,2.7786898612976074,69.982577085495,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
