epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
22,1.7841924755859375,0.50774,2.6596277683258056,0.3635,0.18032991886138916,0.1,733.8310850558178,2.776881694793701,131939.14900000003,68.1355710029602,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
23,1.746591248512268,0.51668,2.0594018306732176,0.4541,0.09532161802053452,0.1,735.5951179456363,2.7769570350646973,129422.87100000009,67.97317481040955,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
24,1.7210658992767334,0.52214,2.066484928512573,0.4536,0.06518886983394623,0.1,733.2469276523256,2.7770323753356934,129633.64999999988,68.18985271453857,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
25,1.7014748540878295,0.52616,2.01582353477478,0.4649,0.0863342434167862,0.1,737.6440431831321,2.7771077156066895,131335.872,67.7843713760376,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
26,1.674745922012329,0.53106,2.3654576950073243,0.3984,0.1245107427239418,0.1,735.3823054572889,2.7771830558776855,131316.34100000001,67.99184536933899,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
27,1.6482684250259398,0.5384,2.021553593826294,0.4582,0.07617902755737305,0.1,735.6057458058622,2.7772583961486816,131399.39100000018,67.97119283676147,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
28,1.6264145587921142,0.54446,2.2737424503326418,0.401,0.1220853179693222,0.1,735.544746220364,2.7773337364196777,131358.1029999999,67.97782969474792,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
29,1.6146692363739015,0.5474,2.371588098144531,0.4098,0.1469622254371643,0.1,735.5949476546729,2.777409076690674,131390.2489999999,67.97219061851501,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
30,1.5929208197784424,0.55128,1.974693839454651,0.4791,0.06923973560333252,0.1,770.0748667088575,2.77748441696167,131998.54900000014,64.9287519454956,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
31,1.572189532623291,0.55928,1.9447427009582519,0.4651,0.06470236927270889,0.1,786.6753560547071,2.777559757232666,131595.9549999999,63.55961990356445,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
32,1.549000315322876,0.56278,1.9444316787719726,0.4841,0.06417754292488098,0.1,786.125922854594,2.777635097503662,132117.94199999998,63.603041887283325,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
