epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
21,0.7075283355140686,0.78022,1.286051999282837,0.6562,0.10836267471313477,0.1,801.3370177797224,2.776806354522705,132116.81500000012,62.39571976661682,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
22,0.6782754167747498,0.78892,1.420624751663208,0.6441,0.13226623833179474,0.1,803.7338315094803,2.776881694793701,132162.26600000006,62.20964956283569,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
23,0.636856010799408,0.80136,1.334449336051941,0.6632,0.12424973398447037,0.1,801.9055535226622,2.7769570350646973,132212.61700000006,62.35148239135742,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
24,0.6095601546478272,0.80668,1.4318366796493531,0.6426,0.1295921951532364,0.1,801.6317302183124,2.7770323753356934,132238.11899999992,62.372780561447144,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
25,0.5794709426784516,0.8165,1.4269637840270997,0.6411,0.1375550627708435,0.1,801.118358098537,2.7771077156066895,132054.222,62.412750244140625,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
26,0.5421926442337036,0.8256,1.3689225032806396,0.6644,0.13700488209724426,0.1,801.9041215568864,2.7771830558776855,132214.09300000008,62.35259389877319,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
27,0.5141204684066772,0.83686,1.4390367035865783,0.6512,0.1495819389820099,0.1,801.7749835670024,2.7772583961486816,132284.87800000006,62.36163640022278,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
28,0.49347134855270386,0.84088,1.452584170150757,0.6525,0.1522279679775238,0.1,801.4794796817683,2.7773337364196777,132042.953,62.384629011154175,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
29,0.44985167488098143,0.8562,1.388944033241272,0.6634,0.14330880343914032,0.1,801.5126447590499,2.777409076690674,132046.49699999997,62.38204765319824,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
30,0.42283179483413696,0.8633,1.4649070531845092,0.6442,0.15276099741458893,0.1,801.2507592083928,2.77748441696167,132073.575,62.40343689918518,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
31,0.41004369483947756,0.86736,1.4584692750930786,0.6547,0.15969520807266235,0.1,801.6344114194495,2.777559757232666,132126.22499999998,62.37357187271118,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
32,0.3831328620147705,0.87552,1.4191930631637573,0.6741,0.15178132057189941,0.1,799.1016051187295,2.777635097503662,132242.07299999992,62.570266008377075,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
33,0.35973004079818727,0.88262,1.462045060825348,0.677,0.15384358167648315,0.1,801.5478069655335,2.777710437774658,132236.54899999988,62.379311084747314,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
34,0.34434183617591857,0.88724,1.4084511585235595,0.6804,0.1503385454416275,0.1,801.8627654031213,2.7777857780456543,132203.88200000004,62.354809522628784,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
35,0.31993512020111087,0.89584,1.4800648359298707,0.6733,0.1596481204032898,0.1,803.3731811644119,2.7778611183166504,132181.57700000014,62.237576723098755,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
36,0.30439991894721985,0.90064,1.3818449870109557,0.6849,0.15326619148254395,0.1,801.9023001774003,2.7779364585876465,132250.93699999995,62.35173535346985,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
37,0.28748775250434877,0.90638,1.4416053680419922,0.6887,0.16077633202075958,0.1,802.046920153281,2.7780117988586426,132332.2970000001,62.340492486953735,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
38,0.25922674990653993,0.9157,1.4535147247314453,0.6791,0.16321922838687897,0.1,801.0952535288056,2.7780871391296387,132283.53700000004,62.41455030441284,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
39,0.25258420736312864,0.91724,1.4608111881256103,0.6827,0.1640811711549759,0.1,799.1085018936318,2.7781624794006348,132300.6810000001,62.56972599029541,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
40,0.2341203434944153,0.92438,1.5158207118988036,0.6758,0.1679411232471466,0.1,801.9292936233882,2.778237819671631,131377.8710000001,62.34963655471802,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
41,0.2355161365890503,0.92382,1.4321800786972045,0.6869,0.1589404046535492,0.1,804.0224925341361,2.778313159942627,132093.39600000012,62.18731498718262,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
