epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,outdir,_cfg_file
29,2.944727178039551,,2.0014605850219724,0.5013,0.1149120107293129,0.1,811.5983950649787,2.7761893272399902,61.60682463645935,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
30,2.8919045655822755,,1.9563075420379639,0.4933,0.05522557348012924,0.1,812.1251495531209,2.7762646675109863,61.56686568260193,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
31,2.8886029106140136,,1.9187722927093507,0.4965,0.047745224088430405,0.1,814.6658214386533,2.7763400077819824,61.37485909461975,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
32,2.8707132172393797,,1.813115620803833,0.5229,0.035058677196502686,0.1,811.5854359680212,2.7764153480529785,61.607808351516724,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
33,2.854084432678223,,1.838131258583069,0.5293,0.08379621058702469,0.1,812.5714484095987,2.7764906883239746,61.533050537109375,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
34,2.870380992202759,,1.822156308555603,0.5294,0.08501370251178741,0.1,811.5858756785369,2.7765660285949707,61.60777497291565,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
35,2.8591602153015137,,1.8092351078033446,0.5249,0.053848788142204285,0.1,812.2705799680001,2.776641368865967,61.55584263801575,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
36,2.8222186682891848,,1.644511322593689,0.5609,0.065263532102108,0.1,811.9268732466728,2.776716709136963,61.58190059661865,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
37,2.7820489608764647,,1.7895596229553223,0.5315,0.045343413949012756,0.1,811.5169851331693,2.776792049407959,61.614001512527466,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
38,2.7795332052612305,,1.7674021020889281,0.5486,0.09666468948125839,0.1,811.7339564438486,2.776867389678955,61.59753632545471,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
