epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
66,1.60163303,,1.216072515,0.7173,0.102357462,0.1,809.6372855,2.778976917,,61.75604916,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
67,1.546651662,,1.013292991,0.7447,0.040139064,0.1,809.163487,2.779052258,,61.79220986,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
68,1.620752148,,1.186196317,0.7299,0.101964451,0.1,806.8387326,2.779127598,,61.97025251,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
69,1.573748642,,1.201504064,0.7436,0.053011462,0.1,809.5018735,2.779202938,,61.76737976,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
70,1.595642734,,1.019575204,0.7466,0.043683864,0.1,806.7347289,2.779278278,,61.97824168,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
71,1.599050386,,1.216017108,0.7277,0.090561308,0.1,809.0431803,2.779353619,,61.80139852,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
72,1.476330374,,1.02092544,0.7597,0.045963086,0.1,807.0723011,2.779428959,,61.95231819,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
73,1.602017645,,1.14328805,0.744,0.102938198,0.1,806.7002738,2.779504299,,61.98088884,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
74,1.534344049,,1.015869288,0.7538,0.043902282,0.1,806.4347149,2.779579639,,62.00129914,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
75,1.468914277,,1.604328048,0.7423,0.105258375,0.1,809.4883501,2.77965498,,61.76741147,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
76,1.515938996,,1.219361561,0.7476,0.079239957,0.1,806.815148,2.77973032,,61.97206402,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
77,1.570813862,,1.24400118,0.7405,0.122420594,0.1,806.9726123,2.77980566,,61.96097136,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
78,1.546322368,,1.362079428,0.7383,0.1471349,0.1,808.4910279,2.779881001,,61.84360528,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
79,1.492890144,,1.123097535,0.7569,0.109929681,0.1,807.4992631,2.779956341,,61.91956115,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
80,1.492552876,,1.065222009,0.7635,0.034661673,0.1,805.945084,2.780031681,,62.03896642,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
81,1.461196314,,1.092259521,0.7573,0.078444779,0.1,807.4748936,2.780107021,,61.92243004,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
82,1.492249239,,1.178777563,0.7513,0.095900968,0.1,806.7386174,2.780182362,,61.97794294,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
83,1.530929647,,1.316041386,0.7546,0.10919743,0.1,806.6068164,2.780257702,,61.98907018,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
84,1.501510548,,1.004161953,0.7686,0.070553832,0.1,806.7537436,2.780333042,,61.97678089,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
85,1.401611703,,0.913601998,0.7781,0.02965034,0.1,809.0697015,2.780408382,,61.79937267,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
86,1.404465631,,1.721873162,0.7535,0.117453419,0.1,809.2353665,2.780483723,,61.78672123,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
87,1.390678998,,1.590472264,0.7637,0.103088692,0.1,809.7048099,2.780559063,,61.75089908,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
88,1.426045915,,1.65460104,0.7604,0.103818074,0.1,811.3396778,2.780634403,,61.62646961,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
89,1.385459374,,1.595908196,0.7607,0.111596569,0.1,807.3219603,2.780709743,,61.93315983,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
90,1.396354944,,1.224287155,0.7713,0.08790347,0.1,811.7750519,2.780785084,,61.59341788,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
91,1.379739752,,1.018097766,0.7799,0.052303564,0.1,809.4841413,2.780860424,,61.76773262,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
92,1.38342866,,1.304718801,0.7718,0.093370885,0.1,806.7675823,2.780935764,,61.9767561,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
93,1.471338145,,1.254771299,0.7719,0.081850536,0.1,809.470456,2.781011105,,61.76877689,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
94,1.419692035,,1.425968125,0.7683,0.110130072,0.1,809.2218895,2.781086445,,61.78775024,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
95,1.408625399,,1.321417996,0.7781,0.042782526,0.1,811.5478111,2.781161785,,61.61166453,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
96,1.383868523,,1.723674704,0.7664,0.109836757,0.1,809.9217171,2.781237125,,61.73436141,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
97,1.378390321,,1.334042304,0.7737,0.089000814,0.1,809.3206263,2.781312466,,61.78021216,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
98,1.41620531,,1.199214891,0.775,0.091651239,0.1,809.196448,2.781387806,,61.78969288,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
99,1.443078081,,1.502619165,0.7726,0.094414845,0.1,809.5536153,2.781463146,,61.76243186,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
100,1.357366054,,1.451699988,0.7763,0.047659852,0.1,806.4788236,2.781538486,,61.99790812,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 0.8},,,FALSE,FALSE,SGD,0.9,runs
